,Symbol,Description,Category2,Category3,Sector,Market cap,Dividend yield,Country,Action
265,AJG,Arthur J Gallagher,Common stocks,Large cap,Financials,"$35,328,462,320",1.12%,USA,Analyze
266,CPRT,Copart Inc,Common stocks,Large cap,Industrials,"$35,277,039,805",0.00%,USA,Analyze
267,NDAQ,Nasdaq Inc,Common stocks,Large cap,Financials,"$34,946,054,605",1.01%,USA,Analyze
268,AVB,"AvalonBay Communities, Inc",REITs,Large cap,Real Estate,"$34,893,308,223",2.52%,USA,Analyze
269,TDG,Transdigm Group Inc,Common stocks,Large cap,Industrials,"$34,668,685,378",0.00%,USA,Analyze
270,WST,West Pharmaceutical Services Inc,Common stocks,Large cap,Health Care,"$34,512,998,421",0.15%,USA,Analyze
271,BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"$34,400,804,223",0.00%,USA,Analyze
272,AMP,Ameriprise Finance Inc,Common stocks,Large cap,Financials,"$34,393,810,848",1.43%,USA,Analyze
273,LEN.B,Lennar Corporation Class B,Common stocks,Large cap,Consumer Discretionary,"$34,349,969,604",1.07%,USA,Analyze
274,LEN,Lennar Corporation Class A,Common stocks,Large cap,Consumer Discretionary,"$34,349,969,604",0.88%,USA,Analyze
275,CTVA,"Corteva, Inc.",Common stocks,Large cap,Materials,"$34,266,012,090",1.14%,USA,Analyze
276,GFS,GlobalFoundries Inc,Common stocks,Large cap,Information Technology,"$34,219,865,152",0.00%,USA,Analyze
277,ARE,"Alexandria Real Estate Equities, Inc",REITs,Large cap,Real Estate,"$34,107,652,775",1.99%,USA,Analyze
278,OKTA,Okta Inc Class A,Common stocks,Large cap,Information Technology,"$34,074,191,595",0.00%,USA,Analyze
279,DFS,Discover Financial Services,Common stocks,Large cap,Financials,"$34,031,956,554",1.61%,USA,Analyze
280,BF.B,Brown Forman Inc Class B,Common stocks,Large cap,Consumer Staples,"$33,656,449,689",0.99%,USA,Analyze
281,BF.A,Brown Forman Inc Class A,Common stocks,Large cap,Consumer Staples,"$33,656,449,689",1.07%,USA,Analyze
282,AME,Ametek Inc,Common stocks,Large cap,Industrials,"$33,618,486,375",0.55%,USA,Analyze
283,EQR,Equity Residential,REITs,Large cap,Real Estate,"$33,518,949,922",2.67%,USA,Analyze
284,NUE,Nucor Corp,Common stocks,Large cap,Materials,"$33,338,438,652",1.38%,USA,Analyze
285,AWK,American Water Works Inc,Common stocks,Large cap,Utilities,"$33,326,699,778",1.28%,USA,Analyze
286,ALL,Allstate Corp,Common stocks,Large cap,Financials,"$33,277,354,839",2.76%,USA,Analyze
287,PEG,Public Service Enterprise Group Inc,Common stocks,Large cap,Utilities,"$32,892,844,304",3.11%,USA,Analyze
288,ZBRA,Zebra Technologies Corp,Common stocks,Large cap,Information Technology,"$32,403,179,238",0.00%,USA,Analyze
289,LSXMA,Liberty Media Liberty Siriusxm Series A,Common stocks,Large cap,Communication Services,"$32,344,851,951",0.09%,USA,Analyze
290,LSXMK,Liberty Media Liberty Siriusxm Series C,Common stocks,Large cap,Communication Services,"$32,344,851,951",0.09%,USA,Analyze
291,FWONK,Liberty Media Formula One Corp Series C,Common stocks,Large cap,Communication Services,"$32,344,851,951",0.00%,USA,Analyze
292,FWONA,Liberty Media Formula One Corp Series A,Common stocks,Large cap,Communication Services,"$32,344,851,951",0.00%,USA,Analyze
293,STT,State Street Corp,Common stocks,Large cap,Financials,"$32,217,157,062",2.25%,USA,Analyze
294,KR,Kroger,Common stocks,Large cap,Consumer Staples,"$32,160,078,369",1.77%,USA,Analyze
295,HUBS,Hubspot Inc,Common stocks,Large cap,Information Technology,"$31,926,282,904",0.00%,USA,Analyze
296,WMB,Williams Inc,Common stocks,Large cap,Energy,"$31,906,682,522",6.10%,USA,Analyze
297,GLW,Corning Inc,Common stocks,Large cap,Information Technology,"$31,891,874,113",2.55%,USA,Analyze
298,PSX,Phillips 66,Common stocks,Large cap,Energy,"$31,889,318,872",4.89%,USA,Analyze
299,CSGP,Costar Group Inc,Common stocks,Large cap,Industrials,"$31,579,064,089",0.00%,USA,Analyze
300,TSN,Tyson Foods Inc Class A,Common stocks,Large cap,Consumer Staples,"$31,373,957,760",2.07%,USA,Analyze
301,DLTR,Dollar Tree Inc,Common stocks,Large cap,Consumer Discretionary,"$31,149,665,490",0.00%,USA,Analyze
302,DOCU,Docusign Inc.,Common stocks,Large cap,Information Technology,"$30,971,633,380",0.00%,USA,Analyze
303,CMI,Cummins Inc,Common stocks,Large cap,Industrials,"$30,924,915,856",2.57%,USA,Analyze
304,ES,Eversource Energy,Common stocks,Large cap,Utilities,"$30,674,354,547",2.67%,USA,Analyze
305,LYB,Lyondellbasell Industries NV,Common stocks,Large cap,Materials,"$30,506,304,146",4.81%,USA,Analyze
306,DVN,Devon Energy Corp,Common stocks,Large cap,Energy,"$30,200,970,000",2.60%,USA,Analyze
307,ON,ON Semiconductor Corp,Common stocks,Large cap,Information Technology,"$30,063,572,516",0.00%,USA,Analyze
308,WEC,WEC Energy Group Inc,Common stocks,Large cap,Utilities,"$30,054,602,114",2.81%,USA,Analyze
309,SWK,Stanley Black & Decker Inc,Common stocks,Large cap,Industrials,"$30,014,414,145",1.61%,USA,Analyze
310,VLO,Valero Energy Corp,Common stocks,Large cap,Energy,"$29,898,148,525",5.26%,USA,Analyze
311,FITB,Fifth Third Bancorp,Common stocks,Large cap,Financials,"$29,880,193,398",2.51%,USA,Analyze
312,WLTW,Willis Towers Watson PLC,Common stocks,Large cap,Financials,"$29,788,333,549",1.22%,USA,Analyze
313,PCAR,Paccar Inc,Common stocks,Large cap,Industrials,"$29,787,814,313",1.53%,USA,Analyze
314,BLL,Ball Corp,Common stocks,Large cap,Materials,"$29,772,353,209",0.76%,USA,Analyze
315,WY,Weyerhaeuser Company,REITs,Large cap,Real Estate,"$29,707,124,700",2.94%,USA,Analyze
316,EXR,Extra Space Storage Inc,REITs,Large cap,Real Estate,"$29,690,507,537",2.01%,USA,Analyze
317,ED,Consolidated Edison Inc,Common stocks,Large cap,Utilities,"$29,588,658,784",3.65%,USA,Analyze
318,LH,Laboratory Corporation Of America,Common stocks,Large cap,Health Care,"$29,361,717,000",0.00%,USA,Analyze
319,PCG,Pacific Gas & Electric Co.,Common stocks,Large cap,Utilities,"$29,335,673,341",0.00%,USA,Analyze
320,ETSY,Etsy Inc,Common stocks,Large cap,Consumer Discretionary,"$29,117,733,704",0.00%,USA,Analyze
321,LVS,Las Vegas Sands Corp,Common stocks,Large cap,Consumer Discretionary,"$28,932,291,908",0.00%,USA,Analyze
322,ROKU,Roku Class A,Common stocks,Large cap,Communication Services,"$28,931,399,241",0.00%,USA,Analyze
323,SGEN,Seattle Genetics Inc,Common stocks,Large cap,Health Care,"$28,830,873,198",0.00%,USA,Analyze
324,O,Realty Income Corporation,REITs,Large cap,Real Estate,"$28,674,861,991",3.92%,USA,Analyze
325,CDW,CDW Corp,Common stocks,Large cap,Information Technology,"$28,097,381,257",0.82%,USA,Analyze
326,VRSN,Verisign Inc,Common stocks,Large cap,Information Technology,"$27,991,765,872",0.00%,USA,Analyze
327,VFC,VF Corp,Common stocks,Large cap,Consumer Discretionary,"$27,918,964,036",2.74%,USA,Analyze
328,LBRDA,Liberty Broadband Corp Series A,Common stocks,Large cap,Communication Services,"$27,860,639,193",0.00%,USA,Analyze
329,LBRDK,Liberty Broadband Corp Series C,Common stocks,Large cap,Communication Services,"$27,860,639,193",0.00%,USA,Analyze
330,OXY,Occidental Petroleum Corp,Common stocks,Large cap,Energy,"$27,683,196,277",0.13%,USA,Analyze
331,IT,Gartner Inc,Common stocks,Large cap,Information Technology,"$27,597,766,976",0.00%,USA,Analyze
332,VMC,Vulcan Materials,Common stocks,Large cap,Materials,"$27,534,966,260",0.71%,USA,Analyze
333,TER,Teradyne Inc,Common stocks,Large cap,Information Technology,"$27,476,011,550",0.24%,USA,Analyze
334,ABC,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$27,452,790,316",1.34%,USA,Analyze
335,MLM,Martin Marietta Materials Inc,Common stocks,Large cap,Materials,"$27,360,073,574",0.54%,USA,Analyze
336,ALB,Albemarle Corp,Common stocks,Large cap,Materials,"$27,267,179,726",0.67%,USA,Analyze
337,CERN,Cerner Corp,Common stocks,Large cap,Health Care,"$27,142,049,610",1.00%,USA,Analyze
338,FTV,Fortive Corp,Common stocks,Large cap,Industrials,"$27,025,997,631",0.37%,USA,Analyze
339,LYV,Live Nation Entertainment Inc,Common stocks,Large cap,Communication Services,"$27,001,885,039",0.00%,USA,Analyze
340,ZBH,Zimmer Biomet Holdings Inc,Common stocks,Large cap,Health Care,"$26,700,532,502",0.75%,USA,Analyze
341,EXPE,Expedia Inc,Common stocks,Large cap,Consumer Discretionary,"$26,609,262,899",0.00%,USA,Analyze
342,GWW,W.W. Grainger Inc,Common stocks,Large cap,Industrials,"$26,592,072,259",1.23%,USA,Analyze
343,INVH,Invitation Homes Inc,REITs,Large cap,Real Estate,"$26,574,109,053",1.52%,USA,Analyze
344,OKE,Oneok Inc,Common stocks,Large cap,Energy,"$26,493,099,525",6.15%,USA,Analyze
345,TSCO,Tractor Supply,Common stocks,Large cap,Consumer Discretionary,"$26,344,740,458",0.90%,USA,Analyze
346,LNG,Cheniere Energy Inc,Common stocks,Large cap,Energy,"$26,228,653,694",0.32%,USA,Analyze
347,GRMN,Garmin Ltd,Common stocks,Large cap,Consumer Discretionary,"$26,144,259,341",1.92%,USA,Analyze
348,HRL,Hormel Foods Corp,Common stocks,Large cap,Consumer Staples,"$26,032,506,153",2.03%,USA,Analyze
349,BILL,"Bill.com Holdings, Inc.",Common stocks,Large cap,Information Technology,"$25,989,161,948",0.00%,USA,Analyze
350,MAA,"Mid-America Apartment Communities, Inc",REITs,Large cap,Real Estate,"$25,863,521,495",1.81%,USA,Analyze
351,SIRI,Sirius Xm Holdings Inc,Common stocks,Large cap,Communication Services,"$25,796,735,165",1.02%,USA,Analyze
352,DOV,Dover Corp,Common stocks,Large cap,Industrials,"$25,719,978,565",1.11%,USA,Analyze
353,SWKS,Skyworks Solutions Inc,Common stocks,Large cap,Information Technology,"$25,694,563,626",1.36%,USA,Analyze
354,EIX,Edison International,Common stocks,Large cap,Utilities,"$25,675,638,508",3.85%,USA,Analyze
355,PAYC,Paycom Software Inc,Common stocks,Large cap,Information Technology,"$25,592,608,189",0.00%,USA,Analyze
356,AVTR,"Avantor, Inc.",Common stocks,Large cap,Health Care,"$25,572,636,383",0.00%,USA,Analyze
357,BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$25,487,608,800",2.89%,USA,Analyze
358,ENPH,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$25,456,629,813",0.00%,USA,Analyze
359,SYF,Synchrony Financial,Common stocks,Large cap,Financials,"$25,272,428,794",1.89%,USA,Analyze
360,MKC,McCormick & Co  Non-voting,Common stocks,Large cap,Consumer Staples,"$25,107,389,783",1.44%,USA,Analyze
361,NTRS,Northern Trust Corporation,Common stocks,Large cap,Financials,"$25,039,793,163",2.30%,USA,Analyze
362,PKI,Perkinelmer Inc,Common stocks,Large cap,Health Care,"$24,985,114,012",0.14%,USA,Analyze
363,DAL,Delta Air Lines Inc,Common stocks,Large cap,Industrials,"$24,960,538,902",0.01%,USA,Analyze
364,IR,Ingersoll Rand Plc,Common stocks,Large cap,Industrials,"$24,948,254,896",0.03%,USA,Analyze
365,HZNP,Horizon Pharma Plc,Common stocks,Large cap,Health Care,"$24,811,950,721",0.00%,USA,Analyze
366,LUV,Southwest Airlines,Common stocks,Large cap,Industrials,"$24,718,575,316",0.00%,USA,Analyze
367,STE,STERIS PLC,Common stocks,Large cap,Health Care,"$24,503,635,030",0.68%,USA,Analyze
368,CHD,Church And Dwight Inc,Common stocks,Large cap,Consumer Staples,"$24,502,730,012",1.00%,USA,Analyze
369,DRE,Duke Realty Corporation,REITs,Large cap,Real Estate,"$24,488,674,290",1.61%,USA,Analyze
370,URI,United Rentals Inc,Common stocks,Large cap,Industrials,"$24,143,544,073",0.00%,USA,Analyze
371,SUI,"Sun Communities, Inc",REITs,Large cap,Real Estate,"$24,094,455,071",1.57%,USA,Analyze
372,BBY,Best Buy Inc,Common stocks,Large cap,Consumer Discretionary,"$23,834,773,774",2.80%,USA,Analyze
373,MPWR,Monolithic Power Systems Inc,Common stocks,Large cap,Information Technology,"$23,557,671,370",0.45%,USA,Analyze
374,HIG,Hartford Financial Services Group,Common stocks,Large cap,Financials,"$23,429,924,821",2.07%,USA,Analyze
375,HES,Hess Corp,Common stocks,Large cap,Energy,"$23,418,450,455",1.32%,USA,Analyze
376,CCL,Carnival Corp,Common stocks,Large cap,Consumer Discretionary,"$23,128,590,835",0.00%,USA,Analyze
377,DTE,DTE Energy,Common stocks,Large cap,Utilities,"$22,830,759,712",2.98%,USA,Analyze
378,PINS,"Pinterest, Inc. Class A",Common stocks,Large cap,Communication Services,"$22,825,325,691",0.00%,USA,Analyze
379,PPL,PPL Corporation,Common stocks,Large cap,Utilities,"$22,726,460,012",5.50%,USA,Analyze
380,TRU,TransUnion,Common stocks,Large cap,Industrials,"$22,695,020,000",0.30%,USA,Analyze
381,BIO,Bio Rad Laboratories Inc Class A,Common stocks,Large cap,Health Care,"$22,656,652,576",0.00%,USA,Analyze
382,ESS,"Essex Property Trust, Inc",REITs,Large cap,Real Estate,"$22,553,584,320",2.38%,USA,Analyze
383,EXPD,Expeditors International Of Washington,Common stocks,Large cap,Industrials,"$22,537,484,479",0.87%,USA,Analyze
384,AEE,Ameren Corp,Common stocks,Large cap,Utilities,"$22,513,234,033",2.50%,USA,Analyze
385,POOL,Pool Corp,Common stocks,Large cap,Consumer Discretionary,"$22,485,743,814",0.53%,USA,Analyze
386,WAT,Waters Corp,Common stocks,Large cap,Health Care,"$22,437,542,847",0.00%,USA,Analyze
387,COO,"Cooper Companies, Inc.",Common stocks,Large cap,Health Care,"$22,404,652,218",0.01%,USA,Analyze
388,HBAN,Huntington Bancshares Inc,Common stocks,Large cap,Financials,"$22,275,503,235",3.87%,USA,Analyze
389,ETR,Entergy Corp,Common stocks,Large cap,Utilities,"$22,274,757,257",3.44%,USA,Analyze
390,TRMB,Trimble Inc,Common stocks,Large cap,Information Technology,"$22,251,893,685",0.00%,USA,Analyze
391,GNRC,Generac Holdings Inc,Common stocks,Large cap,Industrials,"$22,212,717,694",0.00%,USA,Analyze
392,FE,Firstenergy Corp,Common stocks,Large cap,Utilities,"$22,021,773,589",3.80%,USA,Analyze
393,ULTA,Ulta Beauty Inc,Common stocks,Large cap,Consumer Discretionary,"$21,855,890,664",0.00%,USA,Analyze
394,TYL,Tyler Technologies Inc,Common stocks,Large cap,Information Technology,"$21,823,992,825",0.00%,USA,Analyze
395,CTLT,Catalent Inc,Common stocks,Large cap,Health Care,"$21,631,320,987",0.00%,USA,Analyze
396,K,Kellogg,Common stocks,Large cap,Consumer Staples,"$21,579,428,518",3.60%,USA,Analyze
397,BR,Broadridge Financial Solutions Inc,Common stocks,Large cap,Information Technology,"$21,506,321,985",1.31%,USA,Analyze
398,KEY,Keycorp,Common stocks,Large cap,Financials,"$21,498,135,801",3.21%,USA,Analyze
399,JBHT,JB Hunt Transport Services Inc,Common stocks,Large cap,Industrials,"$21,332,522,224",0.58%,USA,Analyze
400,XYL,Xylem Inc,Common stocks,Large cap,Industrials,"$21,330,676,425",0.94%,USA,Analyze
401,MGM,MGM Resorts International,Common stocks,Large cap,Consumer Discretionary,"$21,201,674,502",0.02%,USA,Analyze
402,CLX,Clorox,Common stocks,Large cap,Consumer Staples,"$20,996,018,082",2.63%,USA,Analyze
403,SSNC,"SS&C Technologies Holdings, Inc.",Common stocks,Large cap,Information Technology,"$20,933,996,244",0.82%,USA,Analyze
404,RF,Regions Financial Corp,Common stocks,Large cap,Financials,"$20,867,356,617",2.94%,USA,Analyze
405,RJF,Raymond James Inc,Common stocks,Large cap,Financials,"$20,826,454,328",1.03%,USA,Analyze
406,DGX,Quest Diagnostics Inc,Common stocks,Large cap,Health Care,"$20,774,972,469",1.42%,USA,Analyze
407,NTAP,NetApp Inc,Common stocks,Large cap,Information Technology,"$20,747,404,345",2.09%,USA,Analyze
408,TTWO,Take Two Interactive Software Inc,Common stocks,Large cap,Communication Services,"$20,703,229,574",0.00%,USA,Analyze
409,KMX,Carmax Inc,Common stocks,Large cap,Consumer Discretionary,"$20,667,814,163",0.00%,USA,Analyze
410,YUMC,Yum China Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$20,635,716,917",0.75%,China,Analyze
411,HAL,Halliburton,Common stocks,Large cap,Energy,"$20,632,870,218",0.77%,USA,Analyze
412,HPE,Hewlett Packard Enterprise,Common stocks,Large cap,Information Technology,"$20,591,563,319",3.73%,USA,Analyze
413,FOX,Fox Corporation Class B,Common stocks,Large cap,Communication Services,"$20,584,007,881",1.35%,USA,Analyze
414,FOXA,Fox Corporation Class A,Common stocks,Large cap,Communication Services,"$20,584,007,881",1.26%,USA,Analyze
415,DPZ,Dominos Pizza Inc,Common stocks,Large cap,Consumer Discretionary,"$20,275,076,012",0.67%,USA,Analyze
416,NVR,"NVR, Inc.",Common stocks,Large cap,Consumer Discretionary,"$20,269,831,332",0.00%,USA,Analyze
417,TDY,Teledyne Technologies Inc,Common stocks,Large cap,Information Technology,"$20,215,221,209",0.00%,USA,Analyze
418,FANG,Diamondback Energy Inc,Common stocks,Large cap,Energy,"$20,135,739,376",1.56%,USA,Analyze
419,CZR,Caesars Entertainment Corp,Common stocks,Large cap,Consumer Discretionary,"$20,126,826,996",0.00%,USA,Analyze
420,CFG,Citizens Financial Group Inc,Common stocks,Large cap,Financials,"$20,116,619,987",3.26%,USA,Analyze
421,CG,Carlyle Group,Common stocks,Large cap,Financials,"$20,019,020,585",1.33%,USA,Analyze
422,RCL,Royal Caribbean Cruises Ltd,Common stocks,Large cap,Consumer Discretionary,"$19,990,811,396",0.00%,USA,Analyze
423,VTR,"Ventas, Inc",REITs,Large cap,Real Estate,"$19,906,901,734",3.57%,USA,Analyze
424,SBNY,Signature Bank,Common stocks,Large cap,Financials,"$19,802,602,914",0.68%,USA,Analyze
425,MTB,M&T Bank Corp,Common stocks,Large cap,Financials,"$19,750,507,343",2.90%,USA,Analyze
426,TECH,Bio-Techne Corp,Common stocks,Large cap,Health Care,"$19,673,579,391",0.26%,USA,Analyze
427,VIACA,ViacomCBS Inc. - Class A,Common stocks,Large cap,Communication Services,"$19,630,776,171",2.85%,USA,Analyze
428,VIAC,ViacomCBS Inc. - Class B,Common stocks,Large cap,Communication Services,"$19,630,776,171",3.15%,USA,Analyze
429,BRO,Brown & Brown Inc,Common stocks,Large cap,Financials,"$19,617,368,237",0.55%,USA,Analyze
430,GPC,Genuine Parts,Common stocks,Large cap,Consumer Discretionary,"$19,612,898,917",2.34%,USA,Analyze
431,UI,Ubiquiti Inc.,Common stocks,Large cap,Information Technology,"$19,602,365,667",0.64%,USA,Analyze
432,DRI,Darden Restaurants Inc,Common stocks,Large cap,Consumer Discretionary,"$19,497,601,001",2.28%,USA,Analyze
433,WDC,Western Digital Corp,Common stocks,Large cap,Information Technology,"$19,348,667,165",0.00%,USA,Analyze
434,PFG,Principal Financial Group Inc,Common stocks,Large cap,Financials,"$19,336,814,335",3.30%,USA,Analyze
435,HOLX,Hologic Inc,Common stocks,Large cap,Health Care,"$19,321,667,654",0.00%,USA,Analyze
436,BURL,Burlington Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$19,311,143,887",0.00%,USA,Analyze
437,ALNY,Alnylam Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$19,268,945,626",0.00%,USA,Analyze
438,PEAK,"Healthpeak Properties, Inc.",REITs,Large cap,Real Estate,"$19,244,878,361",3.32%,USA,Analyze
439,AKAM,Akamai Technologies Inc,Common stocks,Large cap,Information Technology,"$19,159,631,695",0.00%,USA,Analyze
440,ENTG,Entegris Inc,Common stocks,Large cap,Information Technology,"$19,099,425,751",0.23%,USA,Analyze
441,CRL,Charles River Laboratories International,Common stocks,Large cap,Health Care,"$18,941,307,521",0.00%,USA,Analyze
442,MOH,Molina Healthcare Inc,Common stocks,Large cap,Health Care,"$18,824,072,000",0.00%,USA,Analyze
443,PODD,Insulet Corp,Common stocks,Large cap,Health Care,"$18,811,516,929",0.00%,USA,Analyze
444,AGR,Avangrid Inc,Common stocks,Large cap,Utilities,"$18,763,932,784",3.59%,USA,Analyze
445,CMS,CMS Energy Corp,Common stocks,Large cap,Utilities,"$18,514,560,131",2.69%,USA,Analyze
446,VICI,VICI Properties Inc,REITs,Large cap,Real Estate,"$18,415,539,846",4.63%,USA,Analyze
447,CINF,Cincinnati Financial Corp,Common stocks,Large cap,Financials,"$18,389,410,692",2.19%,USA,Analyze
448,UDR,"UDR, Inc",REITs,Large cap,Real Estate,"$18,374,946,504",2.41%,USA,Analyze
449,FDS,Factset Research Systems Inc,Common stocks,Large cap,Financials,"$18,279,760,001",0.66%,USA,Analyze
450,HEI,Heico Corp,Common stocks,Large cap,Industrials,"$18,272,153,455",0.12%,USA,Analyze
451,HEI.A,Heico Corporation Class A,Common stocks,Large cap,Industrials,"$18,272,153,455",0.13%,USA,Analyze
452,SPLK,Splunk Inc,Common stocks,Large cap,Information Technology,"$18,265,288,855",0.00%,USA,Analyze
453,FLT,Fleetcor Technologies Inc,Common stocks,Large cap,Information Technology,"$18,117,842,949",0.00%,USA,Analyze
454,AMCR,Amcor plc,Common stocks,Large cap,Materials,"$18,106,724,685",3.96%,United Kingdom,Analyze
455,BXP,"Boston Properties, Inc",REITs,Large cap,Real Estate,"$18,104,384,810",3.34%,USA,Analyze
456,CPT,Camden Property Trust,REITs,Large cap,Real Estate,"$18,043,952,286",1.87%,USA,Analyze
457,J,Jacobs Engineering Group Inc.,Common stocks,Large cap,Industrials,"$17,991,429,919",0.60%,USA,Analyze
458,BBWI,"Bath & Body Works, Inc.",Common stocks,Large cap,Consumer Discretionary,"$17,989,060,514",0.82%,USA,Analyze
459,IP,International Paper,Common stocks,Large cap,Materials,"$17,941,902,620",4.09%,USA,Analyze
460,CE,Celanese Corporation,Common stocks,Large cap,Materials,"$17,836,311,028",1.65%,USA,Analyze
461,IEX,IDEX Corp,Common stocks,Large cap,Industrials,"$17,762,477,862",0.90%,USA,Analyze
462,NUAN,Nuance Communications Inc,Common stocks,Large cap,Information Technology,"$17,672,087,572",0.00%,USA,Analyze
463,AVY,Avery Dennison Corp,Common stocks,Large cap,Materials,"$17,594,061,388",1.25%,USA,Analyze
464,OLPX,"Olaplex Holdings, Inc.",Common stocks,Large cap,Consumer Staples,"$17,434,552,870",0.00%,USA,Analyze
465,DT,"Dynatrace, Inc.",Common stocks,Large cap,Information Technology,"$17,423,552,294",0.00%,USA,Analyze
466,CNP,Centerpoint Energy Inc,Common stocks,Large cap,Utilities,"$17,344,116,944",2.34%,USA,Analyze
467,DISH,Dish Network Corp Class A,Common stocks,Large cap,Communication Services,"$17,294,649,577",0.00%,USA,Analyze
468,RPRX,Royalty Pharma plc - Class A,Common stocks,Large cap,Health Care,"$17,236,276,992",1.68%,USA,Analyze
469,QRVO,"Qorvo, Inc.",Common stocks,Large cap,Information Technology,"$17,130,893,940",0.00%,USA,Analyze
470,BEN,Franklin Resources Inc,Common stocks,Large cap,Financials,"$17,122,184,965",3.25%,USA,Analyze
471,LKQ,LKQ Corp,Common stocks,Large cap,Consumer Discretionary,"$17,090,128,059",0.43%,USA,Analyze
472,PLUG,Plug Power Inc,Common stocks,Large cap,Industrials,"$17,060,131,887",0.00%,USA,Analyze
473,CLR,Continental Resources Inc,Common stocks,Large cap,Energy,"$17,039,724,584",0.98%,USA,Analyze
474,WAB,Westinghouse Air Brake Technologies,Common stocks,Large cap,Industrials,"$17,004,448,603",0.53%,USA,Analyze
475,TXT,Textron Inc,Common stocks,Large cap,Industrials,"$16,970,537,457",0.10%,USA,Analyze
476,ACGL,Arch Capital Group Ltd,Common stocks,Large cap,Financials,"$16,962,855,330",0.00%,USA,Analyze
477,MAS,Masco Corp,Common stocks,Large cap,Industrials,"$16,895,736,265",1.21%,USA,Analyze
478,MKL,Markel Corp,Common stocks,Large cap,Financials,"$16,650,933,079",0.00%,USA,Analyze
479,BMRN,Biomarin Pharmaceutical Inc,Common stocks,Large cap,Health Care,"$16,650,088,529",0.00%,USA,Analyze
480,VTRS,Viatris Inc.,Common stocks,Large cap,Health Care,"$16,532,407,997",2.39%,USA,Analyze
481,ALLY,Ally Financial Inc,Common stocks,Large cap,Financials,"$16,501,127,720",1.84%,USA,Analyze
482,INCY,Incyte Corp,Common stocks,Large cap,Health Care,"$16,341,487,920",0.00%,USA,Analyze
483,ATH,Athene Holding Ltd,Common stocks,Large cap,Financials,"$16,320,502,153",0.00%,USA,Analyze
484,PWR,Quanta Services Inc,Common stocks,Large cap,Industrials,"$16,299,067,646",0.21%,USA,Analyze
485,ABMD,Abiomed Inc,Common stocks,Large cap,Health Care,"$16,280,366,847",0.00%,USA,Analyze
486,MASI,Masimo Corp,Common stocks,Large cap,Health Care,"$16,274,936,182",0.00%,USA,Analyze
487,ROL,Rollins Inc,Common stocks,Large cap,Industrials,"$16,272,886,800",1.02%,USA,Analyze
488,CTRA,Coterra Energy Inc.,Common stocks,Large cap,Energy,"$16,198,330,792",2.22%,USA,Analyze
489,BLDR,Builders Firstsource Inc,Common stocks,Large cap,Industrials,"$16,145,456,729",0.00%,USA,Analyze
490,CDAY,Ceridian HCM Holding Inc.,Common stocks,Large cap,Information Technology,"$16,081,975,232",0.00%,USA,Analyze
491,CAG,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"$16,031,232,481",3.47%,USA,Analyze
492,EMN,Eastman Chemical,Common stocks,Large cap,Materials,"$15,997,048,798",2.36%,USA,Analyze
493,CF,CF Industries Holdings Inc,Common stocks,Large cap,Materials,"$15,841,155,998",1.61%,USA,Analyze
494,ELS,"Equity LifeStyle Properties, Inc",REITs,Large cap,Real Estate,"$15,840,296,416",1.26%,USA,Analyze
495,AES,AES Corp,Common stocks,Large cap,Utilities,"$15,781,116,332",2.52%,USA,Analyze
496,RNG,Ringcentral Inc Class A,Common stocks,Large cap,Information Technology,"$15,752,607,607",0.00%,USA,Analyze
497,TREX,Trex Inc,Common stocks,Large cap,Industrials,"$15,743,417,468",0.00%,USA,Analyze
498,MKTX,Marketaxess Holdings Inc,Common stocks,Large cap,Financials,"$15,728,133,634",0.64%,USA,Analyze
499,CLVT,Clarivate Plc,Common stocks,Large cap,Industrials,"$15,725,696,587",0.00%,USA,Analyze
500,TFX,Teleflex Inc,Common stocks,Large cap,Health Care,"$15,513,173,642",0.41%,USA,Analyze
501,W,Wayfair Inc Class A,Common stocks,Large cap,Consumer Discretionary,"$15,508,800,025",0.00%,USA,Analyze
502,OMC,Omnicom Group Inc,Common stocks,Large cap,Communication Services,"$15,506,144,180",3.78%,USA,Analyze
503,EVRG,Evergy Inc,Common stocks,Large cap,Utilities,"$15,473,346,196",3.19%,USA,Analyze
504,Z,Zillow Group Inc Class C,Common stocks,Large cap,Real Estate,"$15,423,368,128",0.00%,USA,Analyze
505,ZG,Zillow Group Inc Class A,Common stocks,Large cap,Real Estate,"$15,423,368,128",0.00%,USA,Analyze
506,WPC,W. P. Carey Inc,REITs,Large cap,Real Estate,"$15,271,640,611",5.01%,USA,Analyze
507,NLOK,NortonLifeLock Inc.,Common stocks,Large cap,Information Technology,"$15,201,258,646",1.90%,USA,Analyze
508,IRM,Iron Mountain Incorporated,REITs,Large cap,Real Estate,"$15,198,453,150",4.62%,USA,Analyze
509,MOS,Mosaic,Common stocks,Large cap,Materials,"$15,158,182,880",0.69%,USA,Analyze
510,LNT,Alliant Energy Corp,Common stocks,Large cap,Utilities,"$15,012,968,781",2.66%,USA,Analyze
